# REDSHIFT   LOG_LBOL            
  1.5689     45.94100131705489   
  0.6418     46.14262229851225   
  2.8933     46.972407723674365  
  0.7153     45.70545290900579   
  1.9776     47.598132952813394  
  1.8805     47.07637609295368   
  2.035      47.157954189894525  
  0.3662     45.18000579069232   
  0.8296     46.14391023407118   
  1.2746     46.4654476298742    
  0.6158     44.67354497066498   
  2.0668     46.37678036818378   
  1.8674     46.983485699755306  
  3.3704     47.538700615371496  
  1.9933     46.71774580484266   
  0.7482     45.54229377897491   
  1.2348     46.28260807488978   
  1.6274     45.99330296808637   
  2.4978     46.706477469185835  
  1.5353     46.13203589499658   
  1.404      45.91454539729942   
  2.0505     46.74418617310513   
  1.5571     45.948758359676006  
  1.6003     46.28969073440094   
  1.8342     46.04285429349911   
  0.3454     45.105259921692245  
  1.3551     45.89925575474711   
  1.4051     46.1447593808576    
  1.3548     45.83829659157058   
  1.3366     45.863264946270945  
  2.0318     46.249065380131846  
  1.5489     45.7214100375985    
  0.9877     45.58783284281644   
  1.1607     45.8884062146884    
  1.2923     45.79291194792818   
  1.5163     45.86840961387633   
  1.7535     46.444869433142145  
  0.6984     45.86225670225945   
  0.3726     45.272062064428034  
  0.36       44.728204727786405  
  1.1565     45.870982672771575  
  3.3334     47.46245329975991   
  0.8        45.6242304192072    
  1.5518     46.961602384335805  
  1.4993     46.14684617360317   
  3.8801     47.384787594458366  
  0.8081     45.21804011952206   
  1.5198     46.061122948111745  
  0.7015     45.64927243062994   
  2.9264     47.52045130503284   
  3.2717     47.585991956349005  
  0.7905     46.22803348890657   
  2.031      47.862257495098355  
  1.9727     47.81831607684561   
  4.6945     46.92118531058893   
  1.3077     47.723197782184755  
  1.1992     46.00498454722107   
  0.7532     45.50911285343016   
  2.14       45.727736181954356  
  1.0246     45.31770453943436   
  0.1543     45.779923786417164  
  1.8887     46.2205654331855    
  0.0645     45.25089656423661   
  0.8023     45.86089201160901   
  0.0865     44.92315975695035   
  2.0206     47.08352300556994   
  0.4643     45.312480990682545  
  0.5538     45.641563019578115  
  1.2149     46.14696363467782   
  1.3676     45.97334654209788   
  2.156      47.02967084930335   
  2.848      46.72607639666779   
  2.916      46.333305133857124  
  1.244      46.683956250602996  
  3.902      46.21310535590886   
  0.872      44.841484576562166  
  2.56       46.422905384189676  
  0.66       45.0677077536855    
  2.126      46.445271416223335  
  2.75       46.508376984451     
  1.532      46.305776527741926  
  2.145      46.46371283784697   
  2.187      46.21603003768801   
  2.427      46.38775073787184   
  2.611      47.2339153405323    
  3.862      46.935937283965536  
  1.028      45.663453886387316  
  1.826      46.41853907650268   
  2.613      46.57550350497242   
  2.646      46.404836159943365  
  2.559      45.81043413694851   
  2.511      46.353648239851104  
  3.12       46.584445171197096  
  2.786      46.010149095048504  
  2.738      46.766757688876545  
  3.176      46.524444609462364  
  2.1        46.478866118978054  
  2.125      47.32894076152645   
  2.505      46.164671270205574  
  2.365      46.47917924010874   
  3.096      46.016727821139334  
  2.921      46.56897370878382   
  2.237      45.934402019492815  
  2.495      46.06703266279087   
  2.853      46.19318391715181   
  1.018      45.50844330520605   
  3.183      45.98473000997609   
  2.535      46.0612516130664    
