# REDSHIFT  LOG_LBOL          
  0.5846    45.9767888664777  
  1.9935    47.337002799975885
  2.0474    47.407807975607135
  0.1504    45.13897847545974 
  1.0432    46.84986520392778 
  2.0377    47.358833435408556
  0.1739    45.78917624508243 
  1.1889    46.4623293401307  
  0.1627    45.751893429298924
  1.5225    46.68176109800226 
  2.0619    47.35257183978173 
  1.9977    47.46449260270456 
  1.9381    47.29822524587065 
  1.6381    46.53119920559526 
  4.976     47.43422661595119 
  2.4524    47.1078586209613  
  2.1016    46.10717553890319 
  0.6312    46.604889450617684
  1.6369    46.456584044649226
  1.9383    46.568317311498824
  0.0858    44.81910534293761 
  5.167     47.22513918939352 
  0.2406    46.3532467346963  
  1.4374    47.322640339198784
  2.0966    47.657493809966354
  1.055     46.35317000807444 
  0.9973    46.64072944291495 
  1.635     47.16253569700024 
  1.1149    46.86393719973674 
  1.7829    46.84385819648558 
  1.2816    47.62351593494127 
  0.4335    46.52644256748606 
  0.7196    46.951510631774866
  0.0979    45.11858492339797 
  2.875     47.37492194385702 
  2.856     47.03245380216868 
  2.172     47.34269958888679 
  1.024     47.14391708264845 
  4.4       47.11050017600333 
  2.85      48.213896667431484
  1.572     46.33247089472329 
  3.06      46.86061289455622 
  1.944     47.193020580916155
  4.65      47.397757440991874
  3.307     46.427007004092786
  1.39      46.85454133165389 
  4.76      47.23574308964072 
  4.696     47.50497275489764 
  2.274     47.92308593972101 
  2.261     47.627247663125544
  2.266     46.64539488047186 
  1.753     46.15645001753924 
  2.522     46.699322473464   
  1.542     45.97277129325022 
  1.763     46.08350419892081 
  2.325     47.22361932124035 
  2.38      46.33819209515014 
  2.644     46.95060899040038 
  3.091     46.23175981702884 
  4.196     46.974758049887306
  2.247     45.420904155853535
  2.699     46.33428692181422 
  2.103     45.94235589837969 
  3.2       46.90198825741755 
  2.6       46.377555054818735
  2.717     46.99986816096492 
  2.722     46.847173543090385
  2.439     45.947363336615304
  2.266     46.50328063140105 
  1.998     47.08376328671147 
  2.272     46.632678035378134
  2.142     46.08504937260489 
  2.495     46.597601243502424
  2.376     46.18755252149419 
  2.103     46.30434754551173 
  3.009     47.32612539676983 
  2.247     47.218243074289006
  2.277     47.550136542683944
  2.55      47.09161963655285 
  2.07      46.310001118281534
  2.759     46.28762474381092 
  2.301     47.45041641501914 
  2.529     47.44432431676627 
  2.443     47.240063674085725
  2.275     47.33492309555195 
  3.525     47.14649432261768 
  0.94      46.578138518477516
  4.508     47.13029771653835 
  2.43      47.12903136152347 
  4.37      47.12050921813544 
  4.87      47.225379483221985
  2.18      46.71480106770552 
  3.89      46.84986606005806 
  4.65      47.11237947938605 
  2.53      47.338103205892416
  2.018     47.3619736028273  
  1.943     47.299027420487846
  1.309     46.96151422273823 
  2.535     47.71888882877809 
  3.302     47.38902417119174 
  4.65      46.96853531377689 
  1.732     46.85936132810808 
  1.775     46.61499852305128 
  1.891     45.95608891633328 
  1.974     46.10886446056443 
  1.232     46.550145829001295
  1.05      45.83740021643714 
  4.655     47.10052896484283 
  1.476     47.01455752789566 
  3.41      47.25649536893945 
  3.159     47.90464436272535 
  1.646     46.59830600605367 
  5.135     46.93852783146728 
  1.973     47.34810359826624 
  4.911     47.268330466661254
  1.944     47.729530761220886
  3.204     47.24537552276169 
  2.23      46.93257499485657 
  1.189     46.60990954503886 
  2.299     47.03296035556545 
  4.43      47.31778903059146 
  2.019     47.28961521793416 
  4.29      46.87395387040546 
  4.579     47.404056627457614
  0.188     45.149595371693636
  2.266     47.270515576121156
  2.315     47.221181057644394
  2.22      48.09055969486532 
  1.008     45.618216892313974
  0.806     45.676033448161434
  0.85      46.56627322976354 
  2.435     47.318668705070706
  2.19      46.83691354790014 
  1.4978535 46.32494163959224 
  4.105     47.63768941979968 
  2.153     47.30884205986966 
  2.5135508 45.9755625158572  
  1.5756849 45.87136719766297 
  2.1088977 47.33690797631844 
