# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
3950	55680	316	230.02282	20.268186	1.572	5.226	1544.353	10.788	25.403	27.050	6.905	1545.755	2.195	5.168	5.504	6.971	1553.444	23.764	55.960	57.286	30.943	15.124187707351666	3	0.837966568435172	1543.935	1072.776	1553.444	-1846.392	-999.0	-999.0	45.6206636656821	0.007585882237455827	8.848509448563956	0.0969412205879545	7	0.029701696768406647
4033	55332	168	211.87247	1.205139	3.06	7.957	1537.755	14.640	34.473	36.516	1.753	1542.734	2.260	5.321	5.665	3.899	1530.186	64.541	151.982	87.164	48.752	39.20887077811335	3	0.76087425049143	1541.963	1454.299	1530.186	2289.846	46.2796879188806	0.0024579665961035942	-999.0	-999.0	9.946265429619762	0.16654546258143596	6	0.19005772611079746
4034	55635	364	212.07317	-1.242253	1.944	38.229	1541.931	10.133	23.862	25.416	37.250	1556.098	21.721	51.148	52.978	36.794	1546.158	4.210	9.913	10.556	31.592	23.042968013068958	3	0.9779818802352107	1536.251	2559.494	1556.098	-3873.053	46.61209560524053	0.0011138939236988261	46.516782083030535	0.0009693272599179041	9.331948895245693	0.03673450719517541	7	0.07109243335264401
4039	55648	487	205.39249	1.6993588	4.65	18.733	1520.032	0.000	0.000	nan	18.733	1520.032	0.000	0.000	nan	11.240	1520.032	0.000	0.000	nan	nan	0.0	0	-0.07233012303551067	1499.863	9599.813	0.000	-9999.000	46.81683246531625	0.0034331176652056014	-999.0	-999.0	9.858718359580896	0.15678739861200813	7	0.05368432919063804
4050	55599	814	201.72897	-0.091698816	3.307	0.000	1600.000	69294.324	163175.663	nan	0.000	1600.000	69312.946	163219.514	nan	37.469	1500.000	0.000	0.000	nan	nan	0.0	0	-0.2614954248304755	1500.117	9550.658	0.000	-9999.000	45.846082028417165	0.008203433356616012	-999.0	-999.0	8.016068607667968	0.09874717656976638	6	0.04179918796957904
4072	55362	384	241.89261	16.071508	4.76	19.574	1523.889	0.000	0.000	nan	19.574	1523.889	0.000	0.000	nan	11.744	1523.889	0.000	0.000	nan	nan	0.0	0	-0.16880319124686527	1499.953	9582.480	0.000	-9999.000	46.6548181139651	0.003428822204010942	-999.0	-999.0	9.559042595475113	0.08566438047138955	7	0.029174470545045014
4178	55653	608	253.65356	22.459393	4.696	9.227	1545.048	13.406	31.568	33.589	9.220	1544.234	13.655	32.155	34.206	6.254	1507.402	23.026	54.223	36.007	42.099	36.82579492739842	3	0.8853957402879395	1542.517	1347.166	1507.402	6824.666	46.92404777922202	0.0015658164421031694	-999.0	-999.0	9.982418218267195	0.03238404398119801	7	0.04091248366046251
4193	55476	918	321.94762	0.82486432	2.261	11.078	1571.557	81.604	192.162	91.085	54.235	1530.114	18.954	44.634	44.923	32.016	1542.269	8.034	18.918	20.137	46.240	40.48119096859341	3	0.9868867168605148	1532.672	3251.969	1571.557	-7605.909	47.04632268744992	0.0005118081558384586	46.885584975082296	0.002289901886614823	10.040999214518816	0.01759385706693394	6	0.06690713674982578
4193	55476	952	322.41501	0.81265322	2.266	10.351	1548.094	9.640	22.699	24.163	4.264	1545.829	22.873	53.861	55.500	5.174	1546.247	0.000	0.000	nan	33.352	33.3522699712114	2	0.8863352680584199	1547.333	415.442	1545.829	291.406	46.06446990479624	0.0021404686462474327	45.86866261422563	0.004750126311102826	8.984476333896785	0.23903944546988642	6	0.06690714193033805
4195	55452	438	323.76932	-0.21991833	1.753	2.418	1550.486	10.750	25.314	26.947	3.626	1546.425	43.020	101.304	81.005	0.000	1549.797	0.000	0.000	nan	59.525	39.96108697029672	2	0.44976538759981277	1547.725	339.639	1546.425	251.791	45.1070575227918	0.007995525379728443	45.44464278849805	0.009370103125931088	9.646741293437994	0.0587990790186905	6	0.047874189960814224
