# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
4201	55443	530	333.93105	0.35469381	2.31	0.000	1545.821	5.026	11.836	nan	0.000	1545.787	3.550	8.360	nan	1.881	1544.577	32.672	76.937	71.053	71.053	0.0	1	0.18165122763911457	1543.022	1249.575	0.000	-9999.000	45.468442573959884	0.007174429975058613	45.63328097694257	0.0047846664042950635	9.785959154794233	0.20954767167258384	6	0.0672072023654627
4202	55445	216	336.80832	-0.99960218	2.228	11.907	1551.866	2.714	6.390	6.803	8.517	1545.608	13.937	32.818	34.919	2.549	1564.790	98.062	230.917	94.721	28.006	36.65736792624239	3	0.9576641080081906	1548.697	151.498	1564.790	-3115.198	45.87906169651373	0.0019925874715436757	45.6111341223072	0.006680871794254767	8.346091277677239	0.07529579649766635	6	0.06720725121790651
4204	55470	22	341.37265	-0.04391	1.694	7.448	1550.304	20.628	48.575	50.886	8.966	1549.233	4.107	9.671	10.295	0.000	1549.812	11.913	48.575	nan	28.734	16.13265566441919	2	0.7059373963166082	1549.182	57.602	1550.304	-217.073	45.114297029505686	0.007446381997213071	45.01845314448112	0.01753988351249827	8.91165413464268	0.100524001185718	6	0.035561030622979536
4209	55478	695	348.10763	0.35515621	2.382	4.897	1551.226	10.142	23.882	25.425	1.834	1533.094	14.487	34.115	35.901	1.162	1573.790	106.875	251.671	93.843	43.224	34.49477221302436	3	0.8401690077565138	1547.485	385.965	1573.790	-5095.934	45.83582114259917	0.0024080714568025757	45.72178456144048	0.003839527114229866	9.300927541618437	0.052471927191422754	6	0.03556109950505615
4211	55446	131	352.34672	-0.70452909	2.387	2.854	1546.718	0.000	0.000	nan	2.854	1546.705	0.000	0.000	nan	6.155	1545.743	28.462	67.024	65.397	65.397	0.0	1	0.3674594488410533	1538.809	2064.551	0.000	-9999.000	45.695665700941944	0.004559331873452759	46.31925249891551	0.003640253130006565	6.950892614363038	0.5452960356870902	6	0.06268265698745253
4215	55471	214	358.58281	-0.68551013	2.23	4.364	1547.472	26.630	62.708	62.569	10.399	1539.714	8.939	21.050	22.411	14.581	1548.971	4.989	11.747	12.511	27.042	21.0110858632072	3	0.9713222429968867	1546.313	612.759	1547.472	-224.756	45.84876659236541	0.002826081881574569	45.68892654386478	0.0090494287978803	8.854708318186212	0.030386220975847183	6	0.07553989186598516
4508	55600	640	125.41227	12.291666	3.114	59.297	1546.787	12.478	29.383	31.274	96.529	1547.202	3.665	8.629	9.186	59.807	1546.147	0.000	0.000	nan	17.595	12.70400890577821	2	0.984513746913784	1543.603	1137.052	1546.787	-618.294	46.486084930567785	0.0019764408299567816	-999.0	-999.0	8.721425075251647	0.19580032922192636	6	0.0650582703928401
4737	55630	190	150.102	2.1054596	2.288	10.749	1547.547	3.603	8.484	9.034	8.028	1544.523	9.372	22.070	23.494	10.253	1549.163	31.684	74.611	70.284	35.132	20.16746851198036	3	0.9471469946764531	1546.209	632.965	1549.163	-572.754	46.07575102133949	0.0026038288518079634	45.78065226000802	0.0035547166310727183	8.934246551186824	0.05227331549998927	7	0.11711948928617175
4737	55630	811	150.1037	2.6657171	2.955	12.400	1547.873	3.539	8.334	8.872	8.551	1549.013	19.193	45.196	47.661	0.000	1546.248	5.263	12.392	nan	24.721	14.201593045580239	2	0.886018153661789	1547.225	436.271	1549.013	-346.391	45.76101644795443	0.005678924716169931	-999.0	-999.0	8.430427238230433	0.08116052418549295	7	0.18403631672564127
4737	55630	929	150.49074	2.775465	1.434	5.122	1566.400	38.371	90.356	73.485	15.414	1550.112	13.249	31.199	33.324	10.736	1552.193	0.000	0.000	nan	44.199	0.0	2	0.6379656825880633	1542.693	1313.220	1566.400	-4607.157	-999.0	-999.0	45.10054269780689	0.006447633774581016	9.283136952692475	0.049576109162648034	6	0.09271103961258007
4737	55630	262	149.7445	2.027495	2.455	20.045	1545.858	6.678	15.725	16.740	17.018	1548.167	28.388	66.849	65.536	0.000	1546.076	8.538	20.104	nan	39.208	0.0	2	0.9192700570247014	1544.728	919.501	1548.167	-667.527	46.342292363251524	0.0017055437281100884	-999.0	-999.0	8.63276228601751	0.1619577543392833	6	0.036431586852684224
5142	55825	422	319.57882	0.74449562	1.626	11.896	1540.254	11.827	27.850	29.636	10.337	1547.328	5.699	13.420	14.287	6.750	1566.091	19.442	45.783	46.646	33.088	23.91298499483628	3	0.9324471401457276	1544.562	951.624	1566.091	-4178.710	-999.0	-999.0	45.549795655844555	0.0036280886248793586	8.990658284949138	0.029556906591577815	6	0.07354342922072495
5145	55835	63	326.40358	0.77961784	1.759	18.141	1543.687	24.487	57.664	58.449	36.782	1547.661	4.152	9.776	10.409	0.000	1545.539	2.836	57.664	nan	26.389	13.379082059600705	2	0.9547058053488312	1547.563	370.951	1543.687	750.725	45.77650330263051	0.003444839947363427	45.49627584650277	0.005698285535559211	8.631426298865085	0.09941186502061658	6	0.07708477779729005
5145	55835	401	325.14632	0.76061289	2.085	4.823	1548.352	13.910	32.755	34.855	4.189	1552.177	32.506	76.545	71.257	16.057	1545.597	6.047	14.240	15.165	28.515	21.781010648389838	3	0.964998685827811	1542.215	1405.620	1552.177	-1936.498	45.81722665845691	0.002650067008361661	45.71811266718334	0.004158888182919361	8.89290912204598	0.10535775635974043	6	0.07708476781446079
5408	56038	374	190.08713	14.926568	3.105	4.263	1572.204	65.181	153.490	86.337	3.384	1500.000	39.166	92.229	48.559	10.768	1543.938	10.028	23.614	25.126	48.794	76.54702364201557	3	0.8156126077576378	1540.590	1720.118	1572.204	-6152.131	46.26902246626481	0.0019748807703591532	-999.0	-999.0	9.028024054166366	0.2786984432248611	8	0.39669875000834426
5873	56035	88	158.57771	20.550059	5.01	10.614	1600.000	0.000	0.000	nan	10.614	1600.000	0.000	0.000	nan	6.368	1600.000	0.000	0.000	nan	nan	0.0	0	0.019013447073534584	1500.118	9550.505	0.000	-9999.000	46.480779152160196	0.007636906327062508	-999.0	-999.0	9.08356911387789	0.2447317044047898	7	0.03640786207420544
7898	57363	124	2.1115587	-5.1101319	2.172	2.790	1544.120	37.706	88.790	76.519	4.112	1537.482	5.371	12.648	13.469	0.447	1500.000	0.000	88.790	nan	39.197	19.731238870961306	2	0.3756829408560609	1537.683	2282.459	1544.120	-1254.945	45.63193054674924	0.005285757487559825	45.84212691413965	0.005150254345617142	9.07704348607445	0.42949128889148236	7	0.9632379878177346
