# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
4201	55443	364	334.64541	-1.248202	1.903	3.537	2791.866	39.800	93.723	98.371	2.213	2815.717	0.000	0.000	nan	7.037	2801.925	9.697	22.835	24.308	49.602	0.0	2	0.8783184150250704	2791.598	805.257	2791.866	-28.703	45.48890528991058	0.00271448700063519	45.951997955618	0.0023331018786071985	8.336360667212913	0.2026285234681574	6	0.06720721388110454
4201	55443	356	334.69717	-0.22456552	2.558	0.000	2858.817	7.411	17.452	nan	0.000	2858.817	7.411	17.451	nan	2.422	2900.000	56.984	134.187	70.699	70.699	0.0	1	0.06067068774756945	2889.976	-9731.244	0.000	-9999.000	45.9053922177127	0.0020555639784512318	-999.0	-999.0	9.239232633776691	0.47665313817781546	6	0.06720721510523248
4201	55443	530	333.93105	0.35469381	2.31	0.000	2799.696	35.656	83.963	nan	0.000	2799.696	35.656	83.963	nan	1.658	2804.815	43.136	83.963	105.754	105.754	101.5779144442431	1	0.057191317234584926	2804.607	-587.988	0.000	-9999.000	45.468442573959884	0.007174429975058613	45.63328097694257	0.0047846664042950635	9.785959154794233	0.20954767167258384	6	0.0672072023654627
4202	55445	216	336.80832	-0.99960218	2.228	0.000	2792.178	40.664	95.756	nan	0.000	2792.191	40.663	95.755	nan	2.396	2787.275	64.351	151.534	140.551	140.551	143.996254844983	1	0.12983731101974927	2776.300	2443.723	0.000	-9999.000	45.87906169651373	0.0019925874715436757	45.6111341223072	0.006680871794254767	8.346091277677239	0.07529579649766635	6	0.06720725121790651
4204	55470	22	341.37265	-0.04391	1.694	0.000	2700.000	112882.481	265817.929	nan	0.000	2744.710	113002.839	266101.349	nan	9.656	2900.000	0.000	265817.929	nan	nan	0.0	0	-0.6444560047275953	2700.240	10589.986	0.000	-9999.000	45.114297029505686	0.007446381997213071	45.01845314448112	0.01753988351249827	8.91165413464268	0.100524001185718	6	0.035561030622979536
4209	55478	695	348.10763	0.35515621	2.382	1.025	2823.711	0.000	0.000	nan	2.449	2812.374	44.631	105.098	108.380	0.000	2816.068	0.000	0.000	nan	108.380	0.0	1	0.18873414989696335	2804.957	-625.531	0.000	-9999.000	45.83582114259917	0.0024080714568025757	45.72178456144048	0.003839527114229866	9.300927541618437	0.052471927191422754	6	0.03556109950505615
4211	55446	131	352.34672	-0.70452909	2.387	3.473	2782.128	32.735	77.085	81.555	1.673	2716.430	0.000	0.000	nan	0.000	2784.911	0.000	0.000	nan	81.555	0.0	1	0.11985536949450193	2776.418	2431.158	0.000	-9999.000	45.695665700941944	0.004559331873452759	46.31925249891551	0.003640253130006565	6.950892614363038	0.5452960356870902	6	0.06268265698745253
4215	55471	214	358.58281	-0.68551013	2.23	0.000	2900.000	143368.382	337606.740	nan	0.000	2900.000	143381.084	337636.651	nan	38.019	2700.000	0.000	337606.740	nan	nan	0.0	0	-0.07801677118248751	2700.209	10593.272	0.000	-9999.000	45.84876659236541	0.002826081881574569	45.68892654386478	0.0090494287978803	8.854708318186212	0.030386220975847183	6	0.07553989186598516
4737	55630	190	150.102	2.1054596	2.288	0.000	2900.000	46137.772	108646.149	nan	0.000	2900.000	46141.809	108655.656	nan	33.157	2700.000	0.000	108646.149	nan	nan	0.0	0	-0.2854406158220464	2700.027	10612.798	0.000	-9999.000	46.07575102133949	0.0026038288518079634	45.78065226000802	0.0035547166310727183	8.934246551186824	0.05227331549998927	7	0.11711948928617175
4737	55630	929	150.49074	2.775465	1.434	1.735	2802.167	36.693	86.407	91.352	1.735	2801.384	38.062	89.628	94.550	0.411	2800.663	0.293	0.689	0.562	83.911	80.02984805514279	3	0.7327068185513941	2798.849	28.662	2801.384	-271.531	-999.0	-999.0	45.10054269780689	0.006447633774581016	9.283136952692475	0.049576109162648034	6	0.09271103961258007
4737	55630	262	149.7445	2.027495	2.455	2.863	2790.031	43.612	102.699	106.519	6.573	2807.163	13.247	31.193	33.205	0.000	2797.482	25.888	102.699	nan	56.683	39.689468298081465	2	0.27300868765409325	2806.415	-781.611	2790.031	1750.229	46.342292363251524	0.0017055437281100884	-999.0	-999.0	8.63276228601751	0.1619577543392833	6	0.036431586852684224
5142	55825	422	319.57882	0.74449562	1.626	2.567	2800.423	15.414	36.297	38.638	1.937	2805.608	16.263	38.298	40.768	1.406	2804.445	45.992	108.302	111.521	57.251	43.713139732541094	3	0.8275719539360525	2799.660	-58.159	2804.445	-512.349	-999.0	-999.0	45.549795655844555	0.0036280886248793586	8.990658284949138	0.029556906591577815	6	0.07354342922072495
5145	55835	63	326.40358	0.77961784	1.759	3.624	2796.716	7.697	18.125	19.294	0.892	2788.520	47.012	110.705	113.235	0.700	2805.928	0.000	18.125	nan	37.956	21.280785256172294	2	0.5223085815863402	2796.715	257.259	2788.520	878.490	45.77650330263051	0.003444839947363427	45.49627584650277	0.005698285535559211	8.631426298865085	0.09941186502061658	6	0.07708477779729005
5145	55835	401	325.14632	0.76061289	2.085	5.397	2798.452	19.271	45.381	48.308	2.334	2807.269	0.000	0.000	nan	0.000	2791.219	17.508	45.381	nan	48.308	45.382171739772275	1	0.5769268260639002	2798.625	52.671	0.000	-9999.000	45.81722665845691	0.002650067008361661	45.71811266718334	0.004158888182919361	8.89290912204598	0.10535775635974043	6	0.07708476781446079
7236	56605	497	34.29999	-4.7722211	1.102	2.295	2797.457	0.000	0.000	nan	2.301	2797.455	0.000	0.000	nan	8.060	2798.779	23.433	55.179	58.735	58.735	46.71038837439801	1	0.7813515736199232	2795.550	382.060	0.000	-9999.000	-999.0	-999.0	45.082318004606535	0.0037964781197984895	8.733188739622175	0.0744025556954442	7	0.06786758250856222
7898	57363	124	2.1115587	-5.1101319	2.172	15.603	2803.550	0.000	0.000	nan	15.603	2803.550	0.000	0.000	nan	9.362	2803.550	0.000	0.000	nan	nan	0.0	0	-0.004853360496798631	2700.019	10613.688	0.000	-9999.000	45.63193054674924	0.005285757487559825	45.84212691413965	0.005150254345617142	9.07704348607445	0.42949128889148236	7	0.9632379878177346
