# plate	mjd	fiber	RA	DEC	REDSHIFT	A1	wl1	sigma1	FWHM1	EW1	A2	wl2	sigma2	FWHM2	EW2	A3	wl3	sigma3	FWHM3	EW3	EW_T	FWHM_T	g_no	R2	wl_T	vel_peak	wl_broad	vel_broad	LOG_L1350	LOG_L1350_ERR	LOG_L3000	LOG_L3000_ERR	LOG_MBH	LOG_MBH_ERR	Band	Cont_sens
2029	53819	602	197.61943	32.345489	0.9973	10.632	2799.922	0.000	0.000	nan	25.836	2797.923	15.335	36.110	38.440	0.000	2797.424	14.011	32.994	nan	38.440	33.83104000400135	1	0.8568734360465877	2793.551	596.124	0.000	-9999.000	-999.0	-999.0	45.92892221387376	0.000973684787754231	8.800529741461185	0.07232464795351022	6	0.20513279699181602
2093	53818	298	197.74752	32.559556	1.635	2.985	2802.854	9.260	21.806	23.214	1.853	2792.594	49.708	117.054	118.790	0.455	2887.093	0.000	21.806	nan	60.313	32.13006324770549	2	0.22782818104350522	2802.330	-344.164	2792.594	1041.618	-999.0	-999.0	46.450728467959046	0.0017211273700474044	9.432737953948763	0.5103788630264834	6	0.20513279757320899
2485	54176	422	164.5746	19.864163	1.1149	62.491	2800.053	8.945	21.063	22.432	16.785	2818.034	17.370	40.904	43.544	42.641	2793.191	40.323	94.955	99.577	55.739	34.85035589916288	3	0.9907027874312148	2798.403	76.458	2793.191	558.397	-999.0	-999.0	46.15212997069555	0.0010631069153976772	9.218237052534198	0.02629852070314848	6	0.21719629513145752
2646	54479	204	186.22692	21.379555	0.4335	114.744	2807.513	0.000	0.000	nan	114.744	2807.513	0.000	0.000	nan	68.846	2807.513	0.000	0.000	nan	nan	0.0	0	-0.26768248733480693	2700.240	10590.000	0.000	-9999.000	-999.0	-999.0	45.784558694150995	0.0013682634376645404	8.841211647600655	0.03189585312322595	6	0.022649098883647648
2756	54508	579	209.26849	19.318742	0.7196	59.976	2806.921	23.706	55.823	59.423	50.509	2778.166	29.943	70.510	74.713	155.019	2799.948	8.292	55.823	20.789	42.043	27.481637395957023	3	0.9929357699472324	2800.094	-104.631	2778.166	2347.663	-999.0	-999.0	46.13991369471933	0.003019794877398093	9.148924279018976	0.05145251572383943	6	0.029601572237953573
3816	55272	738	134.73336	1.8720604	2.172	14.048	2799.540	11.495	27.069	28.816	4.393	2808.950	14.749	34.730	36.971	5.697	2785.469	24.293	57.205	60.882	40.726	35.886293645735805	3	0.9005862835849662	2794.904	451.254	2785.469	1011.978	46.761774613211166	0.0005686053066654542	46.5165351268841	0.0008318804083168805	9.913345925322112	0.030072986266501078	6	0.07071966112546156
3819	55540	186	137.29206	1.359909	1.024	6.066	2825.559	29.039	68.383	72.386	7.506	2782.683	44.858	105.633	108.102	28.088	2800.178	13.330	31.391	33.414	55.856	40.44293070089816	3	0.9667913680182245	2795.694	366.653	2782.683	1395.132	-999.0	-999.0	46.43210985360726	0.00023852144973097179	9.358040139640353	0.03077561143400361	6	0.1868615016646212
3950	55680	316	230.02282	20.268186	1.572	4.871	2800.565	8.526	20.077	21.414	3.216	2798.172	49.966	117.662	119.524	0.000	2798.736	34.623	81.531	nan	60.518	31.968473214770256	2	0.8716260659244495	2797.880	132.522	2798.172	-31.278	-999.0	-999.0	45.6206636656821	0.007585882237455827	8.848509448563956	0.0969412205879545	7	0.029701696768406647
4034	55635	364	212.07317	-1.242253	1.944	19.134	2799.035	10.524	24.782	26.391	15.063	2807.145	25.305	59.588	63.420	3.506	2759.143	51.282	120.761	112.152	51.366	36.65010412862284	3	0.974612244884988	2796.805	247.585	2759.143	4037.058	46.61209560524053	0.0011138939236988261	46.516782083030535	0.0009693272599179041	9.331948895245693	0.03673450719517541	7	0.07109243335264401
4193	55476	918	321.94762	0.82486432	2.261	17.793	2799.821	9.895	23.301	24.805	13.391	2794.559	46.079	108.508	111.845	0.000	2797.423	4.495	10.586	nan	62.365	65.5658608241647	2	0.8475755373923555	2794.791	463.357	2794.559	24.819	47.04632268744992	0.0005118081558384586	46.885584975082296	0.002289901886614823	10.040999214518816	0.01759385706693394	6	0.06690713674982578
4193	55476	952	322.41501	0.81265322	2.266	2.726	2806.332	8.477	19.961	21.261	1.189	2838.501	180.017	423.909	185.480	0.000	2803.068	46.563	109.648	nan	71.492	0.0	2	0.10541770299153552	2804.683	-596.166	2838.501	-3614.718	46.06446990479624	0.0021404686462474327	45.86866261422563	0.004750126311102826	8.984476333896785	0.23903944546988642	6	0.06690714193033805
4195	55452	438	323.76932	-0.21991833	1.753	2.244	2790.988	24.777	58.346	62.102	1.784	2837.234	32.648	76.881	79.493	0.817	2728.637	177.302	417.514	175.933	112.258	82.9142850862172	3	0.5186561568340418	2798.942	18.782	2728.637	7530.312	45.1070575227918	0.007995525379728443	45.44464278849805	0.009370103125931088	9.646741293437994	0.0587990790186905	6	0.047874189960814224
4195	55452	210	324.89934	-0.87125296	2.522	1.132	2809.840	87.630	206.352	162.375	3.762	2805.719	15.895	37.429	39.845	0.000	2803.003	34.426	81.067	nan	68.199	0.0	2	0.10115247160802698	2798.406	76.197	2809.840	-1224.928	46.11839749778838	0.002198046324632846	-999.0	-999.0	9.275944588305606	0.16464465780938345	6	0.04787419940012872
4196	55478	984	327.68436	0.70826885	1.542	2.989	2798.726	15.252	35.915	38.234	1.019	2791.806	61.798	145.523	137.896	0.000	2798.687	41.749	98.311	nan	63.676	51.89875891640304	2	0.7715371069672586	2794.631	480.456	2791.806	303.084	-999.0	-999.0	45.26096406420903	0.0069438029828383	8.854845836950691	0.036546777798086925	6	0.04787422353184635
4197	55479	860	328.63135	0.20732156	1.763	1.554	2801.499	6.153	14.490	15.431	1.664	2802.297	20.497	48.267	51.379	1.691	2728.294	0.000	14.490	nan	34.030	24.466166844448253	2	0.2950865129534773	2801.683	-274.850	2802.297	-65.665	45.22093904877789	0.005329364273023797	45.371696969879615	0.0057991848707501644	8.546454909975198	0.11811347289933603	6	0.07708480081576985
