# RA_1_1    DEC_1_1     PLATE MJD   FIBERID REDSHIFT LOG_L1350          LOG_L1350_ERR         LOG_L3000          LOG_L3000_ERR         LOG_MBH            LOG_MBH_ERR          Band Cont._sens.         
  149.9916  1.7242806   500   51994 153     1.6274   -999.0             -999.0                45.28149573904518  0.014725224796044932  8.91906779040886   0.28326478133459637  6    0.09271104950609337 
  150.0589  2.0151552   500   51994 556     2.4978   46.12555249351021  0.0035150152134756796 -999.0             -999.0                8.6285274187198    0.04344381026382889  7    0.1171194928449044  
  149.47793 2.6424256   500   51994 446     1.6003   -999.0             -999.0                45.57788350535975  0.005339933055781214  8.852834660351986  0.09894677109427068  6    0.09271106249997538 
  149.95581 2.0280977   501   52235 313     1.7535   -999.0             -999.0                45.73306220410095  0.006727649199933183  8.119506614435542  0.8518892620848947   7    0.11834552933738579 
  241.1728  16.760651   3922  55333 972     2.934    47.296915560048326 4.716761705642466E-4  -999.0             -999.0                10.011432400222727 0.027624935427405146 7    0.12086585403370974 
  238.60899 19.617504   3931  55350 832     4.612    46.59299205495324  0.003856021838201603  -999.0             -999.0                9.989226455505312  0.23733894745977496  7    0.12086597119024174 
  224.3244  2.79651     4015  55624 678     1.975    46.99280749482773  4.2267548661136575E-4 46.97019136093345  4.0685909412516326E-4 9.082245296085603  0.021103580248655916 7    0.10972475244166413 
  329.2678  -0.37160524 4197  55479 30      2.245    45.54264588252834  0.005202429975025651  45.46071765406113  0.011216013462183183  9.186556903642407  0.05737591977702032  6    0.07708481076279919 
  329.18008 0.86312203  4198  55480 630     2.436    45.73561694067046  0.004282291479437981  45.60721073504452  0.012401197384060933  8.83456367674369   0.03157658947998807  6    0.07708479856307178 
  331.02243 -0.33988445 4198  55480 16      2.199    46.247707923963496 0.0015726422729395765 45.90178041263074  0.0030023554605199277 8.875856458123053  0.015256384400257787 6    0.06720715493893183 
  333.57935 -0.19609092 4200  55499 153     2.489    46.067244866475924 0.0017349347425642712 -999.0             -999.0                9.049289782965873  0.027555092292604628 6    0.06720719663104371 
  332.44542 0.2370389   4200  55499 580     2.219    45.57191765070438  0.004846350916910393  45.466246596884574 0.006778351963121223  8.371572114859045  0.3387638462780659   6    0.067207178086435   
  334.64541 -1.248202   4201  55443 364     1.903    45.48890528991058  0.00271448700063519   45.951997955618    0.0023331018786071985 8.336360667212913  0.2026285234681574   6    0.06720721388110454 
  334.69717 -0.22456552 4201  55443 356     2.558    45.9053922177127   0.0020555639784512318 -999.0             -999.0                9.239232633776691  0.47665313817781546  6    0.06720721510523248 
  333.93105 0.35469381  4201  55443 530     2.31     45.468442573959884 0.007174429975058613  45.63328097694257  0.0047846664042950635 9.785959154794233  0.20954767167258384  6    0.0672072023654627  
  336.80832 -0.99960218 4202  55445 216     2.228    45.87906169651373  0.0019925874715436757 45.6111341223072   0.006680871794254767  8.346091277677239  0.07529579649766635  6    0.06720725121790651 
  341.37265 -0.04391    4204  55470 22      1.694    45.114297029505686 0.007446381997213071  45.01845314448112  0.01753988351249827   8.91165413464268   0.100524001185718    6    0.035561030622979536
  348.10763 0.35515621  4209  55478 695     2.382    45.83582114259917  0.0024080714568025757 45.72178456144048  0.003839527114229866  9.300927541618437  0.052471927191422754 6    0.03556109950505615 
  352.34672 -0.70452909 4211  55446 131     2.387    45.695665700941944 0.004559331873452759  46.31925249891551  0.003640253130006565  6.950892614363038  0.5452960356870902   6    0.06268265698745253 
  358.58281 -0.68551013 4215  55471 214     2.23     45.84876659236541  0.002826081881574569  45.68892654386478  0.0090494287978803    8.854708318186212  0.030386220975847183 6    0.07553989186598516 
  125.41227 12.291666   4508  55600 640     3.114    46.486084930567785 0.0019764408299567816 -999.0             -999.0                8.721425075251647  0.19580032922192636  6    0.0650582703928401  
  150.102   2.1054596   4737  55630 190     2.288    46.07575102133949  0.0026038288518079634 45.78065226000802  0.0035547166310727183 8.934246551186824  0.05227331549998927  7    0.11711948928617175 
  150.1037  2.6657171   4737  55630 811     2.955    45.76101644795443  0.005678924716169931  -999.0             -999.0                8.430427238230433  0.08116052418549295  7    0.18403631672564127 
  150.49074 2.775465    4737  55630 929     1.434    -999.0             -999.0                45.10054269780689  0.006447633774581016  9.283136952692475  0.049576109162648034 6    0.09271103961258007 
  149.7445  2.027495    4737  55630 262     2.455    46.342292363251524 0.0017055437281100884 -999.0             -999.0                8.63276228601751   0.1619577543392833   6    0.036431586852684224
  319.57882 0.74449562  5142  55825 422     1.626    -999.0             -999.0                45.549795655844555 0.0036280886248793586 8.990658284949138  0.029556906591577815 6    0.07354342922072495 
  326.40358 0.77961784  5145  55835 63      1.759    45.77650330263051  0.003444839947363427  45.49627584650277  0.005698285535559211  8.631426298865085  0.09941186502061658  6    0.07708477779729005 
  325.14632 0.76061289  5145  55835 401     2.085    45.81722665845691  0.002650067008361661  45.71811266718334  0.004158888182919361  8.89290912204598   0.10535775635974043  6    0.07708476781446079 
  190.08713 14.926568   5408  56038 374     3.105    46.26902246626481  0.0019748807703591532 -999.0             -999.0                9.028024054166366  0.2786984432248611   8    0.39669875000834426 
  158.57771 20.550059   5873  56035 88      5.01     46.480779152160196 0.007636906327062508  -999.0             -999.0                9.08356911387789   0.2447317044047898   7    0.03640786207420544 
  2.1115587 -5.1101319  7898  57363 124     2.172    45.63193054674924  0.005285757487559825  45.84212691413965  0.005150254345617142  9.07704348607445   0.42949128889148236  7    0.9632379878177346  
